Date,Open,High,Low,Close,Adj Close,Volume
2020-04-08,263.410004,267.950012,260.600006,266.950012,266.761871,13561113
2020-04-09,272.000000,272.920013,260.420013,262.950012,262.764740,13156195
2020-04-13,260.549988,270.200012,257.000000,269.850006,269.659882,9960182
2020-04-14,275.000000,285.320007,273.889313,283.950012,283.749908,13273667
2020-04-15,277.200012,284.167114,275.380005,280.839996,280.642120,9153721
2020-04-16,287.079987,299.000000,286.549988,294.700012,294.492310,18640510
2020-04-17,298.000000,298.859985,286.940002,292.320007,292.114044,13478049
2020-04-20,287.239990,293.500000,285.269989,287.049988,286.847717,11234705
2020-04-21,282.309998,284.769989,267.109985,269.510010,269.320099,18378996
2020-04-22,277.230011,287.869995,275.399994,286.149994,285.948364,12118228
2020-04-23,287.839996,293.137512,283.000000,284.010010,283.809875,10603988
2020-04-24,283.600006,289.670013,280.600006,289.589996,289.385925,8816137
2020-04-27,294.989990,303.500000,294.000000,297.079987,296.870605,11984699
2020-04-28,303.000000,304.200012,291.140015,291.359985,291.154633,11072603
2020-04-29,296.769989,300.579987,293.750000,298.459991,298.249695,9479047
2020-04-30,296.292603,298.459991,291.720001,292.279999,292.074036,9397943
2020-05-01,284.350006,288.899994,280.843201,282.779999,282.580719,8552445
2020-05-04,280.880005,291.839996,280.880005,291.285004,291.079773,7938880
2020-05-05,295.470001,300.269989,291.290009,293.739990,293.532990,9222391
2020-05-06,296.929993,302.000000,295.410004,297.790009,297.580170,8086639
2020-05-07,303.380005,307.410004,301.322998,304.869995,304.655151,9343263
2020-05-08,307.750000,312.750000,306.390015,312.500000,312.279785,8497678
2020-05-11,312.299988,324.500000,311.149994,322.619995,322.392700,11726504
2020-05-12,324.940002,326.899994,311.709991,312.100006,311.880096,12326482
2020-05-13,316.700012,323.140015,303.790009,311.200012,310.980713,15646252
2020-05-14,313.665009,321.440002,307.500000,321.220001,320.993622,15057809
2020-05-15,315.589996,340.019989,314.959991,339.630005,339.390656,24691543
2020-05-18,350.420013,356.660004,347.220093,350.010010,349.763336,19410086
2020-05-19,351.609985,363.500000,350.510010,352.220001,351.971771,17933049
